samp1,samp2,discord
Diagnosis Xeno 1,Diagnosis Xeno 1 CNS,0
Diagnosis Xeno 1,Diagnosis Xeno 1 Spleen,0
Diagnosis Xeno 2,Diagnosis Xeno 2 CNS,0
Diagnosis Xeno 2,Diagnosis Xeno 2 Spleen,1
Diagnosis Xeno 3,Diagnosis Xeno 3 Spleen,1
Diagnosis Xeno 4,Diagnosis Xeno 4 Spleen,0
Diagnosis Xeno 5,Diagnosis Xeno 5 Spleen,0
Diagnosis Xeno 6,Diagnosis Xeno 6 Spleen,0
Diagnosis Xeno 7,Diagnosis Xeno 7 Spleen,0
Diagnosis Xeno 8,Diagnosis Xeno 8 CNS,0
Diagnosis Xeno 8,Diagnosis Xeno 8 Spleen,0
Diagnosis Xeno 9,Diagnosis Xeno 9 Spleen,0
Diagnosis Xeno 10,Diagnosis Xeno 10 Spleen,0
Diagnosis Xeno 11,Diagnosis Xeno 11 CNS,1
Diagnosis Xeno 11,Diagnosis Xeno 11 Spleen,0
Diagnosis Xeno 12,Diagnosis Xeno 12 CNS,1
Diagnosis Xeno 12,Diagnosis Xeno 12 Spleen,0
Diagnosis Xeno 13,Diagnosis Xeno 13 CNS,0
Diagnosis Xeno 13,Diagnosis Xeno 13 Spleen,1
Diagnosis Xeno 14,Diagnosis Xeno 14 Spleen,0
Diagnosis Xeno 15,Diagnosis Xeno 15 Spleen,0
Diagnosis Xeno 16,Diagnosis Xeno 16 Spleen,0
Diagnosis Xeno 17,Diagnosis Xeno 17 Spleen,0
Diagnosis Xeno 18,Diagnosis Xeno 18 Spleen,0
Diagnosis Xeno 19,Diagnosis Xeno 19 Spleen,0
Diagnosis Xeno 20,Diagnosis Xeno 20 Spleen,0
Diagnosis Xeno 22,Diagnosis Xeno 22 Spleen,0
Diagnosis Xeno 23,Diagnosis Xeno 23 Spleen,0
Diagnosis Xeno 24,Diagnosis Xeno 24 Spleen,0
Diagnosis Xeno 25,Diagnosis Xeno 25 Spleen,0
Diagnosis Xeno 26,Diagnosis Xeno 26 Spleen,0
Diagnosis Xeno 28,Diagnosis Xeno 28 Spleen,0
Diagnosis Xeno 29,Diagnosis Xeno 29 Spleen,0
Relapse Xeno 8,Relapse Xeno 8 CNS,0
Relapse Xeno 11,Relapse Xeno 11 CNS,1
Relapse Xeno 12,Relapse Xeno 12 CNS,1
Relapse Xeno 15,Relapse Xeno 15 CNS,1
Relapse Xeno 16,Relapse Xeno 16 CNS,1
Relapse Xeno 18,Relapse Xeno 18 CNS,0
Relapse Xeno 20,Relapse Xeno 20 CNS,0
