samp1,samp2,discord
Diagnosis Xeno 1,Diagnosis Xeno 1 Spleen,0
Diagnosis Xeno 2,Diagnosis Xeno 2 Spleen,0
Diagnosis Xeno 3,Diagnosis Xeno 3 Spleen,0
Diagnosis Xeno 4,Diagnosis Xeno 4 Spleen,0
Diagnosis Xeno 5,Diagnosis Xeno 5 Spleen,0
Diagnosis Xeno 6,Diagnosis Xeno 6 Spleen,0
Diagnosis Xeno 8,Diagnosis Xeno 8 Spleen,0
Diagnosis Xeno 9,Diagnosis Xeno 9 Spleen,0
Diagnosis Xeno 10,Diagnosis Xeno 10 Spleen,0
Diagnosis Xeno 11,Diagnosis Xeno 11 Spleen,0
Diagnosis Xeno 12,Diagnosis Xeno 12 Spleen,0
Diagnosis Xeno 13,Diagnosis Xeno 13 Spleen,0
Relapse Xeno 2,Relapse Xeno 2 CNS,1
Relapse Xeno 3,Relapse Xeno 3 CNS,1
Relapse Xeno 4,Relapse Xeno 4 CNS,1
